,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,RH,CO2_F_MDS,CO2_F_MDS_QC
BE-Bra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0
BE-Dor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10938,0,0
BE-Vie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25497,0,0
CH-Cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53772,0,0
CH-Dav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2259,0,0
CH-Oe2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24288,0,0
CZ-BK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383,0,0
CZ-RAJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ-Stn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ-wet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24246,0,0
DE-Geb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,48,48
DE-Gri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4954,0,0
DE-HoH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0
DE-Obe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11847,698,698
DE-RuR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,0,0
DE-RuS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8666,0,0
DE-Tha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6666,0,0
ES-Abr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0
ES-LM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700,3026,3026
ES-LM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3559,3026,3026
FI-Ken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
FI-Sii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075,1998,1998
FI-Var,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30458,0,0
FR-Aur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30057,2927,2927
FR-Bil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5483,0,0
FR-FBn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256,70,70
FR-Hes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0
FR-LGt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5648,176,176
IL-Yat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27593,0,0
IT-Lav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0
IT-Ren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
IT-Tor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,0
RU-Fy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0
SE-Deg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0
SE-Htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8176,0,0
SE-Nor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2228,0,0
SE-Ros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
